CustomerID,Age,Gender,Income,Recency,Frequency,AvgBasketSize,Monetary,PreferredCategory,OnlineVisits,DiscountResponse,TenureMonths
100000,56,Female,98417.0,237,10,127.06,1216.66,Beauty,34,High,102
100001,69,Female,70656.0,268,9,286.0,2199.21,Sports,34,High,72
100002,46,Male,29307.0,79,16,113.0,2051.49,Home,25,High,90
100003,32,Female,91181.0,46,9,257.93,2659.98,Sports,36,Low,62
100004,60,Female,45132.0,243,20,248.23,5586.46,Groceries,33,High,74
100005,25,Female,49482.0,288,9,22.58,179.68,Groceries,35,Medium,73
100006,38,Male,80428.0,160,15,132.84,1935.61,Groceries,30,High,92
100007,56,Male,87234.0,115,9,98.58,770.63,Groceries,36,High,7
100008,36,Female,39985.0,114,12,154.29,1973.83,Electronics,36,High,1
100009,40,Female,89420.0,126,10,149.58,1678.28,Electronics,26,Medium,97
100010,28,Female,77485.0,90,19,273.55,5366.96,Sports,43,Low,43
100011,28,Female,44005.0,61,8,71.4,581.74,Fashion,40,High,113
100012,41,Female,55082.0,317,14,71.01,1079.63,Fashion,38,Medium,13
100013,53,Female,90323.0,102,8,50.26,339.93,Beauty,25,High,98
100014,57,Male,28789.0,114,15,226.82,3058.88,Electronics,28,High,11
100015,41,Female,87614.0,174,15,277.0,3845.33,Home,38,High,111
100016,20,Female,76928.0,92,12,123.18,1497.38,Electronics,47,Low,112
100017,39,Female,70183.0,183,6,37.31,266.49,Home,30,Medium,93
100018,19,Female,62634.0,205,9,63.69,656.44,Fashion,37,Low,112
100019,41,Female,99403.0,363,11,48.67,481.2,Electronics,47,High,111
100020,61,Female,102358.0,195,15,185.86,2490.14,Beauty,43,Medium,91
100021,47,Male,47695.0,305,14,99.04,1350.87,Sports,35,Medium,35
100022,55,Male,72244.0,25,11,271.29,3550.77,Groceries,27,High,38
100023,19,Male,97488.0,234,16,65.44,901.48,Fashion,32,Low,89
100024,38,Male,44299.0,16,7,280.44,2321.89,Electronics,25,Low,111
100025,50,Male,64863.0,141,15,113.17,1487.34,Electronics,35,Medium,104
100026,29,Male,80078.0,108,13,262.85,3945.24,Groceries,34,Low,45
100027,39,Female,19702.0,300,12,285.72,3881.61,Fashion,45,Low,51
100028,61,Female,76571.0,339,9,296.18,3073.27,Sports,39,Medium,15
100029,42,Female,38231.0,303,13,245.01,3684.26,Sports,35,Medium,59
100030,66,Female,63847.0,80,12,48.47,516.06,Sports,42,High,66
100031,44,Female,82887.0,76,11,35.51,434.16,Fashion,32,Medium,14
100032,59,Female,15000.0,276,15,227.12,3654.91,Beauty,37,Low,14
100033,45,Male,75717.0,268,8,271.17,2498.17,Sports,35,High,110
100034,33,Female,100767.0,112,12,66.5,794.91,Home,37,Low,119
100035,32,Male,49334.0,316,13,283.5,3557.91,Electronics,35,Low,41
100036,64,Male,71534.0,75,11,190.86,2289.44,Home,27,Medium,24
100037,68,Female,86706.0,214,9,54.72,447.14,Fashion,38,Low,5
100038,61,Female,28141.0,34,9,66.77,677.86,Sports,34,Low,34
100039,69,Female,75147.0,141,8,38.47,281.41,Sports,33,Medium,108
100040,20,Female,80475.0,166,5,60.1,245.59,Sports,28,Low,32
100041,54,Female,72772.0,231,9,224.99,2066.61,Groceries,32,Low,92
100042,68,Female,61732.0,292,5,81.25,460.85,Groceries,42,Medium,46
100043,24,Female,39992.0,28,10,177.26,1907.65,Beauty,39,Medium,77
100044,38,Male,87828.0,295,9,221.9,2387.97,Sports,20,High,16
100045,26,Female,60690.0,333,9,270.68,2086.03,Electronics,38,Low,85
100046,56,Female,41922.0,360,14,185.18,2431.33,Groceries,40,Medium,22
100047,35,Male,53639.0,91,18,179.52,3076.18,Beauty,38,Low,87
100048,21,Female,67368.0,115,14,275.59,3176.35,Fashion,26,Medium,32
100049,42,Female,28776.0,159,13,102.57,1089.67,Sports,24,Medium,76
